experiment_id,run_id,config_id,stratum_type,stratum_value,queries,retrieval_failures,generation_attempts,generation_failures,recall_at_1,recall_at_5,recall_at_10,mrr,bleu1,token_f1,bertscore_f1
paper_pilot_cuda_final_v3,all_runs,full_rrf_chrono,overall,all,135,0,135,0,0.459259,0.755556,0.844444,0.591878,0.132966,0.201446,0.862162
paper_pilot_cuda_final_v3,all_runs,full_rrf_chrono,question_type,multimodal,33,0,33,0,0.090909,0.636364,0.727273,0.321573,0.079805,0.138260,0.847942
paper_pilot_cuda_final_v3,all_runs,full_rrf_chrono,question_type,transcript_dependent,48,0,48,0,0.479167,0.812500,0.937500,0.620660,0.165443,0.231254,0.870422
paper_pilot_cuda_final_v3,all_runs,full_rrf_chrono,question_type,visual_dependent,54,0,54,0,0.666667,0.777778,0.833333,0.731482,0.136586,0.213564,0.863510
paper_pilot_cuda_final_v3,all_runs,full_rrf_chrono,domain,lecture,45,0,45,0,0.333333,0.666667,0.733333,0.479630,0.120556,0.186132,0.861385
paper_pilot_cuda_final_v3,all_runs,full_rrf_chrono,domain,tutorial,45,0,45,0,0.333333,0.600000,0.800000,0.484524,0.113979,0.168130,0.854714
paper_pilot_cuda_final_v3,all_runs,full_rrf_chrono,domain,visually_dynamic,45,0,45,0,0.711111,1.000000,1.000000,0.811481,0.164364,0.250076,0.870388
paper_pilot_cuda_final_v3,all_runs,image_only,overall,all,135,0,135,0,0.288889,0.444444,0.622222,0.376076,0.060123,0.104274,0.834135
paper_pilot_cuda_final_v3,all_runs,image_only,question_type,multimodal,33,0,33,0,0.181818,0.363636,0.545455,0.279040,0.051647,0.093838,0.828104
paper_pilot_cuda_final_v3,all_runs,image_only,question_type,transcript_dependent,48,0,48,0,0.062500,0.312500,0.562500,0.195560,0.056388,0.098141,0.838474
paper_pilot_cuda_final_v3,all_runs,image_only,question_type,visual_dependent,54,0,54,0,0.555556,0.611111,0.722222,0.595833,0.068622,0.116103,0.833962
paper_pilot_cuda_final_v3,all_runs,image_only,domain,lecture,45,0,45,0,0.200000,0.266667,0.400000,0.252778,0.060367,0.103080,0.831431
paper_pilot_cuda_final_v3,all_runs,image_only,domain,tutorial,45,0,45,0,0.266667,0.400000,0.600000,0.330079,0.046880,0.084375,0.832631
paper_pilot_cuda_final_v3,all_runs,image_only,domain,visually_dynamic,45,0,45,0,0.400000,0.666667,0.866667,0.545370,0.073121,0.125367,0.838342
paper_pilot_cuda_final_v3,all_runs,raw_score_fusion,overall,all,135,0,135,0,0.518519,0.725926,0.911111,0.634841,0.120066,0.185747,0.860247
paper_pilot_cuda_final_v3,all_runs,raw_score_fusion,question_type,multimodal,33,0,33,0,0.363636,0.545455,0.818182,0.469048,0.074412,0.130033,0.843974
paper_pilot_cuda_final_v3,all_runs,raw_score_fusion,question_type,transcript_dependent,48,0,48,0,0.458333,0.729167,0.937500,0.627083,0.155259,0.221107,0.872575
paper_pilot_cuda_final_v3,all_runs,raw_score_fusion,question_type,visual_dependent,54,0,54,0,0.666667,0.833333,0.944444,0.743056,0.116683,0.188363,0.859234
paper_pilot_cuda_final_v3,all_runs,raw_score_fusion,domain,lecture,45,0,45,0,0.400000,0.600000,0.866667,0.544445,0.103247,0.169399,0.859473
paper_pilot_cuda_final_v3,all_runs,raw_score_fusion,domain,tutorial,45,0,45,0,0.400000,0.666667,0.866667,0.515000,0.106846,0.159543,0.854765
