experiment_id,run_id,config_id,query_id,video_id,provider,model,operation,input_tokens,output_tokens,image_count,api_calls,reported_cost_usd,pricing_date
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q001,vid_001,Ollama (local),llava:7b,generation,3452,134,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q002,vid_001,Ollama (local),llava:7b,generation,3526,91,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q003,vid_001,Ollama (local),llava:7b,generation,3530,105,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q004,vid_001,Ollama (local),llava:7b,generation,3501,134,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q005,vid_001,Ollama (local),llava:7b,generation,3513,75,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q006,vid_002,Ollama (local),llava:7b,generation,3459,145,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q007,vid_002,Ollama (local),llava:7b,generation,3456,28,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q008,vid_002,Ollama (local),llava:7b,generation,3462,48,5,3,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q009,vid_002,Ollama (local),llava:7b,generation,3468,81,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q010,vid_002,Ollama (local),llava:7b,generation,3490,130,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q011,vid_003,Ollama (local),llava:7b,generation,3500,45,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q012,vid_003,Ollama (local),llava:7b,generation,3464,189,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q013,vid_003,Ollama (local),llava:7b,generation,3546,141,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q014,vid_003,Ollama (local),llava:7b,generation,3522,364,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q015,vid_003,Ollama (local),llava:7b,generation,3461,236,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q016,vid_004,Ollama (local),llava:7b,generation,3511,157,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q017,vid_004,Ollama (local),llava:7b,generation,3521,184,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q018,vid_004,Ollama (local),llava:7b,generation,3485,298,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q019,vid_004,Ollama (local),llava:7b,generation,3532,149,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q020,vid_004,Ollama (local),llava:7b,generation,3483,266,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q021,vid_005,Ollama (local),llava:7b,generation,3517,166,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q022,vid_005,Ollama (local),llava:7b,generation,3538,51,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q023,vid_005,Ollama (local),llava:7b,generation,3555,293,5,1,0.000000,not_applicable_local_execution
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q024,vid_005,Ollama (local),llava:7b,generation,3551,98,5,1,0.000000,not_applicable_local_execution
