query_id,interval_id,start_seconds,end_seconds
q001,1,0.8,12.7
q002,1,14.4,43.5
q003,1,101.5,139.5
q004,1,140.0,178.0
q005,1,211.0,245.0
q006,1,0.0,35.0
q007,1,64.0,94.0
q008,1,92.0,128.0
q009,1,194.0,226.0
q010,1,236.0,274.0
q011,1,36.0,57.0
q012,1,15.0,38.0
q013,1,59.0,119.0
q014,1,151.0,190.0
q015,1,231.0,278.0
q016,1,3.0,18.0
q017,1,36.0,53.0
q018,1,65.0,91.0
q019,1,134.0,164.0
q020,1,239.0,258.0
q021,1,14.0,29.0
q022,1,27.0,40.0
q023,1,104.0,124.0
q024,1,121.0,144.0
q025,1,247.0,279.0
q026,1,4.0,28.0
q027,1,31.0,46.0
q028,1,68.0,91.0
q029,1,103.0,137.0
q030,1,236.0,258.0
q031,1,0.0,13.0
q032,1,12.0,30.0
q033,1,64.0,91.0
q034,1,98.0,120.0
q035,1,150.0,169.0
q036,1,0.0,31.0
q037,1,48.0,79.0
q038,1,94.0,126.0
q039,1,145.0,184.0
q040,1,206.0,238.0
q041,1,0.0,31.0
q042,1,35.0,65.0
q043,1,63.0,91.0
q044,1,96.0,121.0
q045,1,226.0,264.0
