experiment_id,run_id,config_id,query_id,video_id,domain,question_type,recall_at_1,recall_at_5,recall_at_10,mrr,retrieval_success,generation_success,bleu1,token_f1,bertscore_f1,error
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q001,vid_001,lecture,transcript_dependent,0.000000,0.000000,0.000000,0.000000,true,true,0.061404,0.115702,0.868478,
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q002,vid_001,lecture,transcript_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.103896,0.179775,0.868246,
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q003,vid_001,lecture,visual_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.129412,0.213592,0.860751,
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q004,vid_001,lecture,multimodal,0.000000,0.000000,0.000000,0.000000,true,true,0.117117,0.200000,0.854345,
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q005,vid_001,lecture,visual_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.109375,0.172840,0.835754,
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q006,vid_002,lecture,multimodal,0.000000,1.000000,1.000000,0.500000,true,true,0.110169,0.191176,0.865586,
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q007,vid_002,lecture,transcript_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.400000,0.410256,0.890192,
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q008,vid_002,lecture,visual_dependent,0.000000,0.000000,0.000000,0.000000,true,true,0.119048,0.181818,0.859199,
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q009,vid_002,lecture,transcript_dependent,0.000000,1.000000,1.000000,0.500000,true,true,0.174603,0.289474,0.886886,
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q010,vid_002,lecture,multimodal,0.000000,1.000000,1.000000,0.500000,true,true,0.134615,0.220472,0.868544,
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q011,vid_003,lecture,visual_dependent,0.000000,0.000000,0.000000,0.000000,true,true,0.000000,0.000000,0.853558,
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q012,vid_003,lecture,transcript_dependent,0.000000,0.000000,1.000000,0.111111,true,true,0.096552,0.166667,0.856043,
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q013,vid_003,lecture,multimodal,0.000000,1.000000,1.000000,0.250000,true,true,0.075000,0.128571,0.849137,
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,q014,vid_003,lecture,visual_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.096070,0.175299,0.854353,
